ID,Date_UTC,Confirmed_UTC,Side,Token,Strategy,Version,Exit_Type,SOL_Intended,SOL_Actual,SOL_Out,Tokens,Fee_SOL,Jito_Tip_SOL,Slippage_SOL,Slippage_PCT,PnL_SOL,PnL_PCT,PnL_Gross_SOL,MC_USD,Ratio,Buyers,Quality,TX_Signature,TX_Sig_Buy,Wallet,Jito_Bundle,Latency_MS,Parsed_OK,Balance_After_SOL,SOL_Price_CHF,SOL_Price_USD,Acquisition_CHF,Cession_CHF,PnL_CHF,Fees_CHF,Portfolio_Value_CHF,Reason
1,2026-03-29T20:41:43.574Z,,BUY,Gm46VKvK55Qi923GY6imdmjvnr1HkydYe7bkHkRPpump,NEO,v4.62,,0.25,0.256449082,,4940917449601,0.000005,0.0001,0.006449081999999995,2.579632799999998,,,,4120.39,1.61,25,3,2uufk94BkHENtcorcjfGADNiEq1ikJ5MFvZjKGLbHkHRZYjwC3LqZK5tnvcSKFXAxzKybXLo9WRYQY6kjvN9ewyW,,9U3LZWzmrBsHpd7azokbUuxuTAB5D49kZFNVwoBhau3m,true,,true,0.228094,67.51,84.43,17.31,,,0.0071,15.40,🧠 NEO v4.62 BUY Q3 — 25b 6s sr=0.24 vel=20 | 1.61x 36s | topH=8% dumps=5 avgBuy=$35 pos=0.25SOL
2,2026-03-29T20:43:37.620Z,,SELL,Gm46VKvK55Qi923GY6imdmjvnr1HkydYe7bkHkRPpump,NEO,v4.62,PUMP3,0.25,0.26867437699999996,0.26867437699999996,4940917449601,0.000005,0.0001,0.018674376999999964,7.469750799999986,0.01222529499999996,4.767143210128536,,4700.65,,,,4JyGkM8WN6Tpm64LNedN4MMfUa1PxevZHhVP6JsUnpvKZR7dq7KzVoeD2uEZgafXHd332BQq5i9Svu1b2HGtPaJ8,2uufk94BkHENtcorcjfGADNiEq1ikJ5MFvZjKGLbHkHRZYjwC3LqZK5tnvcSKFXAxzKybXLo9WRYQY6kjvN9ewyW,9U3LZWzmrBsHpd7azokbUuxuTAB5D49kZFNVwoBhau3m,true,,true,0.268674,67.51,84.43,,18.14,0.83,0.0071,18.14,"""🔄 v10.10g PUMP3 EXIT — 3 pumps, peak +22% <50%, drop -6% from pump3 | P&L 14.1%"""
3,2026-03-29T20:59:25.887Z,,BUY,AxTnsPb8BumR3tLsG2EW9cuivqYcS5y4zzgZ1Xxpump,NEO,v4.62,,0.25,0.25649089999999997,,4875273365783,0.000005,0.0001,0.006490899999999966,2.5963599999999865,,,,4193.81,1.56,73,3,4NC3uBakt7DsELtd7gLU5EhSuiQe7TnAqQvLgJi5NFijP9jEEoq4iuTak5tP48Tswd1EK1bYHTNSHjyv4ymgq5t1,,9U3LZWzmrBsHpd7azokbUuxuTAB5D49kZFNVwoBhau3m,true,,true,0.012130,67.51,84.43,17.32,,,0.0071,0.82,🧠 NEO v4.62 BUY Q3 — 73b 8s sr=0.11 vel=20 | 1.56x 45s | topH=16% dumps=8 avgBuy=$8 pos=0.25SOL
4,2026-03-29T21:02:06.619Z,,SELL,AxTnsPb8BumR3tLsG2EW9cuivqYcS5y4zzgZ1Xxpump,NEO,v4.62,RT-TRAIL,0.25,0.146497387,0.146497387,4875273365783,0.000005,0.0001,-0.103502613,-41.4010452,-0.10999351299999997,-42.883982628623464,,5042.22,,,,2bDd9Cjy6o9qgdYcJJmb4GFTuRMvzoBp975DF4AsMeVAemueoE8BjvU8EjFxj3t38MNL7YhdN9eu3jugktD8SZGE,4NC3uBakt7DsELtd7gLU5EhSuiQe7TnAqQvLgJi5NFijP9jEEoq4iuTak5tP48Tswd1EK1bYHTNSHjyv4ymgq5t1,9U3LZWzmrBsHpd7azokbUuxuTAB5D49kZFNVwoBhau3m,true,,true,0.146497,67.51,84.43,,9.89,-7.43,0.0071,9.89,⚡ RT-TRAIL — drop -38%>25% from peak +93% | captured ~44.6% | sellers 11%
5,2026-03-30T08:14:02.000Z,,BUY,8GEgsVYGEoXTbEfipwyQdJnJ5My8ztFj5k3t9nrmpump,SWARM,SWARM v1.2,,0.03,0.032668,,,0.000055,0,,,,,,9786,3.44,136,,59VJk7FVvR5Gu6omoWfeDrZ1WWL6iu93FZHXgN7ewtNwtKS7RZazUncsyCkcQuVuTss639KCuKpxRozqyKV2bnQV,,9U3LZWzmrBsHpd7azokbUuxuTAB5D49kZFNVwoBhau3m,false,405,true,0.151875,67.51,84.43,2.21,,,0.0037,10.25,🐝 SWARM v1.2 BUY — 136b avg=$21 3.44x 85s | sb=0.35 mc=$9786 pos=0.35SOL
7,2026-03-30T08:17:47.000Z,,BUY,D69CQZSys3yqhXRdxjCqRm9yvJcFjoKBBNfte1q8pump,SWARM,SWARM v1.2,,0.03,0.032472,,,0.000055,0,,,,,,9081,3.19,80,,5zEnqPZQPL91ZgqigWXqPwPsQEtn6fofGBcNwpNmeoFuL7M8hZYt81ch7RYh7wNVaeK9H5yQ5Nn2VpJKU8yx92Xn,,9U3LZWzmrBsHpd7azokbUuxuTAB5D49kZFNVwoBhau3m,false,606,true,0.119348,67.51,84.43,2.19,,,0.0037,8.06,🐝 SWARM v1.2 BUY — 80b avg=$24 3.19x 75s | sb=0.26 mc=$9081 pos=0.35SOL
8,2026-03-30T08:19:07.000Z,,SELL,D69CQZSys3yqhXRdxjCqRm9yvJcFjoKBBNfte1q8pump,SWARM,SWARM v1.2,RT-TRAIL,,0.039607,0.039607,,0.000055,0,,,0.007135,21.97,0.007135,12743,,,,2eB7YAheeraXYvc2jDzi8N7LG8bRsDLVXk9mtgCT8SzUztEaJpifFfCAyVaQFCmrdTB9vwvSQjRrSGz1cnDf2mA5,5zEnqPZQPL91ZgqigWXqPwPsQEtn6fofGBcNwpNmeoFuL7M8hZYt81ch7RYh7wNVaeK9H5yQ5Nn2VpJKU8yx92Xn,9U3LZWzmrBsHpd7azokbUuxuTAB5D49kZFNVwoBhau3m,false,505,true,0.158900,67.51,84.43,,2.67,0.48,0.0037,10.73,⚡ RT-TRAIL — drop -39%>13% from peak +132%
6,2026-03-30T08:19:09.000Z,,SELL,8GEgsVYGEoXTbEfipwyQdJnJ5My8ztFj5k3t9nrmpump,SWARM,SWARM v1.2,RT-TRAIL,,0.033417,0.033417,,0.000055,0,,,0.000749,2.3,0.000749,11041.21,,,,3oAwPE9EVvSbxFVPxFxWn3sNJhPDncJb6jjySfMVx3Faw1MkBrPNyq5aN7LCV9cv6sZSFV2ikVbHeUmHGQYLfia6,59VJk7FVvR5Gu6omoWfeDrZ1WWL6iu93FZHXgN7ewtNwtKS7RZazUncsyCkcQuVuTss639KCuKpxRozqyKV2bnQV,9U3LZWzmrBsHpd7azokbUuxuTAB5D49kZFNVwoBhau3m,false,443,true,0.192261,67.51,84.43,,2.26,0.05,0.0037,12.98,⚡ RT-TRAIL — drop -18%>18% from peak +38%
9,2026-03-30T08:48:36.958Z,,BUY,CnDxDS6nTWsVVpqZKwor1NzEaXose1XsSMkJ2mi8ddFj,SWARM,v1.2,,0.03,0.032599082,,471654608562,0.000055,0.0001,0.0025990820000000026,8.663606666666675,,,,5369.54,2,106,,5qvLzu814NhAcWT5F2B6FGFJnygZ3bVshJQMrxxKE8Xivq9ERVEDwySmNoU8nBUbmhdyLerML23QLXDHaWJfUKVv,,9U3LZWzmrBsHpd7azokbUuxuTAB5D49kZFNVwoBhau3m,true,321,true,,67.51,84.43,2.20,,,0.0105,,🐝 SWARM v1.2 BUY — 106b avg=$5 2.00x 65s | sb=0.04 mc=$5370 pos=0.35SOL
10,2026-03-30T08:48:59.559Z,,SELL,CnDxDS6nTWsVVpqZKwor1NzEaXose1XsSMkJ2mi8ddFj,SWARM,,,0.03,0.019833144999999996,0.019833144999999996,471654608562,0.000055,0.0001,-0.010166855000000002,-33.88951666666667,-0.012765937000000005,-39.160418689090704,,3290.15,2,106,,hxtruuMHHpDWn9veH44HuDz41sDP9XsQJyPC8DWt6S2MpzyxkiiCwmenfgV6B8d8VVk5mZ8QC1k43Z8BXVBhjnA,5qvLzu814NhAcWT5F2B6FGFJnygZ3bVshJQMrxxKE8Xivq9ERVEDwySmNoU8nBUbmhdyLerML23QLXDHaWJfUKVv,9U3LZWzmrBsHpd7azokbUuxuTAB5D49kZFNVwoBhau3m,true,471,true,0.179385493,67.51,84.43,,1.34,-0.86,0.0105,12.11,⚡ RT-HARD_STOP — P&L -38.7% (threshold -20%) | MC 3290
